A12_grad_r,B12_grad_r,dx,A12,B12
-204.66645805007948,1.353648475903276,1.5,529.1391381481704,342.76132433344776
-88.75135706428651,-6.610896866732508,3.5,265.9187430666247,336.3328324048006
-55.66725930739829,-11.344197160023574,5.5,126.47527305807321,318.1555204656634
-40.019125810029216,-15.085624312123155,7.5,32.28624063735613,291.59540217961836
-30.17542546944884,-18.09101671213523,9.5,-37.332649122904684,258.2998688197542
-22.71432983263315,-20.374720617720634,11.5,-89.96322782993322,219.71177362360896
-16.39558633360661,-21.90886954328809,13.5,-128.93667028877834,177.30085367413776
-10.734646764397674,-22.670173741882714,15.5,-155.97781255449254,132.5919852284004
-5.55683196802645,-22.65507798691671,17.5,-172.19443432039736,87.13832775112621
-0.8277769956859851,-21.885182127063423,19.5,-178.50295513241664,42.47546514832727
3.4218445355102345,-20.40844186748733,21.5,-175.82460456018254,0.06939152169693191
7.134355085707309,-18.29794301993841,23.5,-165.17354577216125,-38.7352987668498
10.2464056595196,-15.649039387969776,25.5,-147.6876627836417,-72.76303622691901
12.701834686445753,-12.575346743848954,27.5,-124.62601622996546,-101.04796257328167
14.459664364935687,-9.203977825696292,29.5,-97.34584156958934,-122.86578760134546
15.498968250952352,-5.670339049465836,31.5,-67.26688490094706,-137.7556293185007
15.821524683649695,-2.1127503793180313,33.5,-35.8283297883968,-145.53123188456698
15.452782850000808,1.332905042965833,35.5,-4.442171926830023,-146.28142260992473
14.44146526169836,4.53833589011608,37.5,25.553932402450286,-140.36003840473523
12.858016234649368,7.387657347443352,39.5,52.94183996680907,-128.36585892915082
